STATION,year,dens.weight.mean,SAVArea,dens.weight.mean.y1,SAVArea.y1,dens.change,SAVArea.change,dens.prop.change,SAVArea.prop.change,denscomp.max,dens.percomp,dens.percomp.y1,dens.percomp.change,SAVArea.percomp,SAVArea.percomp.y1,SAVArea.percomp.change
CB5.2,2013,51.439095634500006,106.26998849,15.731581124000002,54.73540008,35.707514510500005,51.534588410000005,2.269798199497242,0.9415220923694398,345.006093283,0.14909619463533877,0.04559798052927655,0.10349821410606222,0.18900027868127015,0.09734644762687897,0.09165383105439118
CB5.2,2014,93.7157376035,140.78331713,51.439095634500006,106.26998849,42.276641968999996,34.51332864,0.8218776292140956,0.3247702303388101,345.006093283,0.2716350216070743,0.14909619463533877,0.12253882697173557,0.25038194272268555,0.18900027868127015,0.0613816640414154
CB5.2,2015,162.1257391895,281.32550881000003,93.7157376035,140.78331713,68.41000158599999,140.54219168000003,0.7299734637466598,0.9982872583562062,345.006093283,0.4699213792044892,0.2716350216070743,0.19828635759741484,0.5003350458652159,0.25038194272268555,0.24995310314253041
CB5.2,2016,160.18597860300002,284.43693654000003,162.1257391895,281.32550881000003,-1.9397605864999719,3.1114277300000026,-0.011964544286411492,0.011059884840024872,345.006093283,0.4642989840518655,0.4699213792044892,-0.005622395152623679,0.5058686938539138,0.5003350458652159,0.00553364798869785
CB5.2,2017,136.7253182645,258.35836441,160.18597860300002,284.43693654000003,-23.46066033850002,-26.078572130000055,-0.14645888824417144,-0.09168490016532244,345.006093283,0.396298271034731,0.4642989840518655,-0.0680007130171345,0.45948817316115564,0.5058686938539138,-0.046380520692758144
CB5.2,2018,144.9773348675,236.71614623,136.7253182645,258.35836441,8.252016602999987,-21.642218179999986,0.06035470758265976,-0.08376821176052586,345.006093283,0.4202167372985458,0.396298271034731,0.02391846626381483,0.42099767057033477,0.45948817316115564,-0.03849050259082086
CB5.2,2019,44.5911623195,93.23626549,144.9773348675,236.71614623,-100.38617254799999,-143.47988074,-0.6924266654490961,-0.6061262952489559,345.006093283,0.12924746312501492,0.4202167372985458,-0.29096927417353086,0.16581991219909736,0.42099767057033477,-0.2551777583712374
CB5.3,1984,274.7620410905,452.88906863,NA,NA,NA,NA,NA,NA,417.87029230300004,0.6575294921689924,NA,NA,0.7445577829824885,NA,NA
CB5.3,1985,116.80841688500001,244.64144582,274.7620410905,452.88906863,-157.9536242055,-208.24762281,-0.5748742569337439,-0.4598203781777156,417.87029230300004,0.2795327139463209,0.6575294921689924,-0.37799677822267147,0.40219494163631914,0.7445577829824885,-0.3423628413461694
CB5.3,1986,184.490293648,360.85855312,116.80841688500001,244.64144582,67.68187676299999,116.21710730000001,0.5794263681326494,0.47505077036500654,417.87029230300004,0.4415013391625004,0.2795327139463209,0.1619686252161795,0.5932579584975614,0.40219494163631914,0.19106301686124225
