usgs_no	year_nu	month_nu	discharge_cufs	site	year_surv	season
1578310	2015	12	32840	susquehanna	2016	Winter
1578310	2016	1	45570	susquehanna	2016	Winter
1578310	2016	2	73380	susquehanna	2016	Winter
1578310	2016	3	44190	susquehanna	2016	Spring
1578310	2016	4	33620	susquehanna	2016	Spring
1578310	2016	5	36750	susquehanna	2016	Spring
1578310	2016	6	14820	susquehanna	2016	Summer
1578310	2016	7	7447	susquehanna	2016	Summer
1578310	2016	8	10160	susquehanna	2016	Summer
1578310	2016	9	5719	susquehanna	2016	Fall
1578310	2016	10	13550	susquehanna	2016	Fall
1578310	2016	11	13780	susquehanna	2017	Winter
1578310	2016	12	30200	susquehanna	2017	Winter
1578310	2017	1	51260	susquehanna	2017	Winter
1578310	2017	2	50040	susquehanna	2017	Winter
1578310	2017	3	54550	susquehanna	2017	Spring
1578310	2017	4	92120	susquehanna	2017	Spring
1578310	2017	5	65740	susquehanna	2017	Spring
1578310	2017	6	38590	susquehanna	2017	Summer
1578310	2017	7	35430	susquehanna	2017	Summer
1578310	2017	8	21110	susquehanna	2017	Summer
1578310	2017	9	9976	susquehanna	2017	Fall
1578310	2017	10	11100	susquehanna	2017	Fall
1578310	2017	11	37420	susquehanna	2018	Winter
1578310	2017	12	16030	susquehanna	2018	Winter
1578310	2018	1	42750	susquehanna	2018	Winter
1578310	2018	2	85950	susquehanna	2018	Winter
1578310	2018	3	58910	susquehanna	2018	Spring
1578310	2018	4	75390	susquehanna	2018	Spring
1578310	2018	5	67370	susquehanna	2018	Spring
1578310	2018	6	32850	susquehanna	2018	Summer
1578310	2018	7	62700	susquehanna	2018	Summer
1578310	2018	8	77850	susquehanna	2018	Summer
1578310	2018	9	96700	susquehanna	2018	Fall
1578310	2018	10	62840	susquehanna	2018	Fall
1578310	2018	11	101900	susquehanna	2019	Winter
1578310	2018	12	96140	susquehanna	2019	Winter
1578310	2019	1	77100	susquehanna	2019	Winter
1578310	2019	2	76490	susquehanna	2019	Winter
1578310	2019	3	69160	susquehanna	2019	Spring
1578310	2019	4	77460	susquehanna	2019	Spring
1578310	2019	5	78560	susquehanna	2019	Spring
1578310	2019	6	56480	susquehanna	2019	Summer
1578310	2019	7	25220	susquehanna	2019	Summer
1578310	2019	8	14780	susquehanna	2019	Summer
1578310	2019	9	9655	susquehanna	2019	Fall
1578310	2019	10	18750	susquehanna	2019	Fall
1578310	2019	11	43210	susquehanna	2020	Winter
1578310	2019	12	46080	susquehanna	2020	Winter
1578310	2020	1	50920	susquehanna	2020	Winter
