SUBEST_ID,Year,Density,SAVAreaHa,NDPD
CB503,1985,2,3.37 ,
CB503,1985,3,5.96 ,
CB503,1985,4,0.00 ,
CB504,1985,1,0.00 ,
CB504,1985,2,0.00 ,
CB504,1985,3,0.00 ,
CB504,1985,4,0.00 ,
CB505,1985,1,0.00 ,
CB505,1985,2,0.00 ,
CB505,1985,3,0.00 ,
CB505,1985,4,0.00 ,
CB601,1985,1,0.00 ,
CB601,1985,2,0.00 ,
CB601,1985,3,0.00 ,
CB601,1985,4,0.00 ,
CB602,1985,1,0.00 ,
CB602,1985,2,0.00 ,
CB602,1985,3,0.00 ,
CB602,1985,4,0.00 ,
CB603,1985,1,0.00 ,
CB603,1985,2,0.00 ,
CB603,1985,3,0.00 ,
CB603,1985,4,0.00 ,
CB701,1985,1,0.00 ,
CB701,1985,2,7.27 ,
CB701,1985,3,0.89 ,
CB701,1985,4,0.00 ,
CB702,1985,1,0.00 ,
CB702,1985,2,0.00 ,
CB702,1985,3,0.00 ,
CB702,1985,4,0.00 ,
CB703,1985,1,0.00 ,
CB703,1985,2,0.89 ,
CB703,1985,3,2.51 ,
CB703,1985,4,0.00 ,
CB704,1985,1,0.00 ,
CB704,1985,2,0.00 ,
CB704,1985,3,0.00 ,
CB704,1985,4,0.00 ,
CB705,1985,1,0.00 ,
CB705,1985,2,0.00 ,
CB705,1985,3,0.00 ,
CB705,1985,4,0.00 ,
CB706,1985,1,0.00 ,
CB706,1985,2,0.00 ,
CB706,1985,3,0.00 ,
CB706,1985,4,0.00 ,
CB707,1985,1,0.00 ,
CB707,1985,2,0.00 ,
CB707,1985,3,0.00 ,
CB707,1985,4,0.00 ,
CB708,1985,1,0.00 ,
CB708,1985,2,14.02 ,
CB708,1985,3,0.00 ,
CB708,1985,4,0.00 ,
CB709,1985,1,0.00 ,
CB709,1985,2,0.00 ,
CB709,1985,3,0.00 ,
CB709,1985,4,0.00 ,
CB801,1985,1,0.00 ,
CB801,1985,2,0.00 ,
CB801,1985,3,0.00 ,
CB801,1985,4,0.00 ,
CHO01,1985,1,7.17 ,
CHO01,1985,2,81.91 ,
CHO01,1985,3,139.74 ,
CHO01,1985,4,55.29 ,
CHO02,1985,1,17.51 ,
CHO02,1985,2,185.84 ,
CHO02,1985,3,261.55 ,
CHO02,1985,4,140.62 ,
CHO03,1985,1,1.72 ,
CHO03,1985,2,51.45 ,
CHO03,1985,3,104.45 ,
CHO03,1985,4,24.51 ,
CHS01,1985,1,0.00 ,
CHS01,1985,2,0.00 ,
CHS01,1985,3,0.00 ,
CHS01,1985,4,0.00 ,
CHS02,1985,1,0.00 ,
CHS02,1985,2,0.00 ,
CHS02,1985,3,0.00 ,
CHS02,1985,4,0.00 ,
CHS03,1985,1,0.00 ,
CHS03,1985,2,0.00 ,
CHS03,1985,3,0.00 ,
CHS03,1985,4,0.00 ,
CHS04,1985,1,0.00 ,
CHS04,1985,2,0.00 ,
CHS04,1985,3,0.00 ,
CHS04,1985,4,0.00 ,
CHS05,1985,1,0.00 ,
CHS05,1985,2,0.00 ,
CHS05,1985,3,0.00 ,
CHS05,1985,4,0.00 ,
EAS01,1985,1,0.00 ,
EAS01,1985,2,13.29 ,
EAS01,1985,3,8.64 ,
EAS01,1985,4,5.72 ,
EAS02,1985,1,0.00 ,
EAS02,1985,2,0.00 ,
EAS02,1985,3,0.82 ,
EAS02,1985,4,0.00 ,
